Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 845, Recent Actor Losses: [tensor(-32.1660, device='cuda:0')], Recent Critic Losses: [tensor(0.3610, device='cuda:0')]
Episode: 850, Recent Actor Losses: [tensor(-29.9872, device='cuda:0')], Recent Critic Losses: [tensor(0.8848, device='cuda:0')]
Episode: 855, Recent Actor Losses: [tensor(-31.9392, device='cuda:0')], Recent Critic Losses: [tensor(0.4806, device='cuda:0')]
Episode: 860, Recent Actor Losses: [tensor(-32.2782, device='cuda:0')], Recent Critic Losses: [tensor(0.3960, device='cuda:0')]
Episode: 865, Recent Actor Losses: [tensor(-29.8525, device='cuda:0')], Recent Critic Losses: [tensor(1.4846, device='cuda:0')]
Episode: 870, Recent Actor Losses: [tensor(-30.6944, device='cuda:0')], Recent Critic Losses: [tensor(0.6203, device='cuda:0')]
Episode: 875, Recent Actor Losses: [tensor(-31.7700, device='cuda:0')], Recent Critic Losses: [tensor(0.1975, device='cuda:0')]
Episode: 880, Recent Actor Losses: [tensor(-30.3766, device='cuda:0')], Recent Critic Losses: [tensor(0.2183, device='cuda:0')]
Episode: 885, Recent Actor Losses: [tensor(-30.9859, device='cuda:0')], Recent Critic Losses: [tensor(0.1599, device='cuda:0')]
Episode: 890, Recent Actor Losses: [tensor(-30.4984, device='cuda:0')], Recent Critic Losses: [tensor(0.3219, device='cuda:0')]
Episode: 895, Recent Actor Losses: [tensor(-32.8480, device='cuda:0')], Recent Critic Losses: [tensor(0.8902, device='cuda:0')]
Episode: 900, Recent Actor Losses: [tensor(-29.7079, device='cuda:0')], Recent Critic Losses: [tensor(0.9028, device='cuda:0')]
Episode: 905, Recent Actor Losses: [tensor(-30.4390, device='cuda:0')], Recent Critic Losses: [tensor(1.6402, device='cuda:0')]
Episode: 910, Recent Actor Losses: [tensor(-30.5620, device='cuda:0')], Recent Critic Losses: [tensor(0.7524, device='cuda:0')]
Episode: 915, Recent Actor Losses: [tensor(-30.9886, device='cuda:0')], Recent Critic Losses: [tensor(0.5383, device='cuda:0')]
Episode: 920, Recent Actor Losses: [tensor(-29.7446, device='cuda:0')], Recent Critic Losses: [tensor(0.4315, device='cuda:0')]
Episode: 925, Recent Actor Losses: [tensor(-30.1098, device='cuda:0')], Recent Critic Losses: [tensor(1.2717, device='cuda:0')]
Episode: 930, Recent Actor Losses: [tensor(-30.3829, device='cuda:0')], Recent Critic Losses: [tensor(0.7320, device='cuda:0')]
